Date,Timestamp,Adj Close,date,Negative,Nuetral,Positive,sentiment_of_the_period,sentiment_of_the_day
2021-04-05 22:40:00,1617662400000,58821.9,2021-04-05 22:40:00,0.0,2.0,0.0,Nuetral,Nuetral
2021-04-05 22:45:00,1617662700000,58873.57,2021-04-05 22:45:00,1.0,2.0,0.0,Nuetral,Nuetral
2021-04-05 22:50:00,1617663000000,58891.54,2021-04-05 22:50:00,0.0,2.0,1.0,Nuetral,Nuetral
2021-04-05 22:55:00,1617663300000,58877.47,2021-04-05 22:55:00,0.0,0.0,2.0,Positive,Positive
2021-04-05 23:00:00,1617663600000,58666.39,2021-04-05 23:00:00,0.0,2.0,2.0,Nuetral,Nuetral
2021-04-05 23:05:00,1617663900000,58661.71,2021-04-05 23:05:00,1.0,1.0,1.0,Negative,Negative
2021-04-05 23:10:00,1617664200000,58531.39,2021-04-05 23:10:00,0.0,3.0,3.0,Nuetral,Nuetral
2021-04-05 23:15:00,1617664500000,58646.88,2021-04-05 23:15:00,0.0,4.0,2.0,Nuetral,Nuetral
2021-04-05 23:20:00,1617664800000,58720.11,,0.0,4.0,2.0,,Nuetral
2021-04-05 23:25:00,1617665100000,58734.25,2021-04-05 23:25:00,0.0,0.0,1.0,Positive,Positive
2021-04-05 23:30:00,1617665400000,58744.69,2021-04-05 23:30:00,0.0,1.0,0.0,Nuetral,Nuetral
2021-04-05 23:35:00,1617665700000,58655.1,2021-04-05 23:35:00,0.0,5.0,1.0,Nuetral,Nuetral
2021-04-05 23:40:00,1617666000000,58681.94,2021-04-05 23:40:00,0.0,0.0,2.0,Positive,Positive
2021-04-05 23:45:00,1617666300000,58716.76,2021-04-05 23:45:00,0.0,0.0,1.0,Positive,Positive
2021-04-05 23:50:00,1617666600000,58782.09,2021-04-05 23:50:00,0.0,1.0,0.0,Nuetral,Nuetral
2021-04-05 23:55:00,1617666900000,59125.0,2021-04-05 23:55:00,0.0,2.0,1.0,Nuetral,Nuetral
2021-04-06 00:00:00,1617667200000,59156.21,2021-04-06 00:00:00,44.0,2.0,4.0,Negative,Negative
2021-04-06 00:05:00,1617667500000,59407.01,2021-04-06 00:05:00,0.0,1.0,4.0,Positive,Positive
2021-04-06 00:10:00,1617667800000,59255.66,2021-04-06 00:10:00,0.0,3.0,3.0,Nuetral,Nuetral
2021-04-06 00:15:00,1617668100000,59101.99,2021-04-06 00:15:00,0.0,1.0,3.0,Positive,Positive
2021-04-06 00:20:00,1617668400000,59148.65,2021-04-06 00:20:00,1.0,0.0,2.0,Positive,Positive
2021-04-06 00:25:00,1617668700000,59155.28,2021-04-06 00:25:00,0.0,0.0,2.0,Positive,Positive
